url,本文,日付,View数,Like数
https://www.instagram.com/p/BcPbQzfgXXz,"『じゃがいもともっちり白玉の味噌汁』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
じゃがいも 　100g
水（じゃがいも用） 　適量
にんじん 　1/4本
白玉粉 　50g
水 　45ml
お湯（白玉茹でる用） 　適量
①水 　400ml
①顆粒和風だし 　小さじ1
みそ 　大さじ1.5
白すりごま 　小さじ1
小ねぎ（小口切り） 　適量
.
【手順】
鍋にお湯を沸かしておきます。
1. じゃがいもは芽を取って皮を剥き、5mm厚さのいちょう切りにし、5分程水にさらしザルにあげます。にんじんは皮を剥き、5mm厚さのいちょう切りにします。
2. ボウルに白玉粉と水を入れ、直径2cmに丸めます。
3. 沸騰したお湯で2を茹で浮き上がってきたものから取り出します。
4. 鍋に①、1を入れて中火にかけ、沸騰したら弱火にして、野菜が柔らかくなるまで煮ます。
5. みそを溶かし入れ、3を入れて器に盛ります。
6. 白すりごま、小ねぎを散らしたら完成です。
.
【コツ・ポイント】
白玉の水分量は耳たぶくらいの硬さになるように調整してください。
味噌によって塩分量が違いますので、お好みで調整してください。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #みそ汁 #味噌 #じゃがいも #白玉",2017-12-03 22:03:39 +0900,111384,4970
https://www.instagram.com/p/BcPUWJ7A36O,"『濃厚ゴルゴンゾーラのチーズフォンデュ』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
ゴルゴンゾーラチーズ 　100g
片栗粉 　大さじ1
白ワイン 　大さじ2
生クリーム 　100ml
すりおろしニンニク 　小さじ1/4
塩こしょう 　少々
ブロッコリー 　60g
じゃがいも 　120g
ウインナー 　4本
フランスパン（バゲット） 　30g
塩 　ひとつまみ
.
【手順】
ブロッコリー、じゃがいも、フランスパンは、食べやすい大きさに切っておきます。
1. ブロッコリーは洗って、濡れたまま塩を振りかけ耐熱容器に入れラップをし、500Wの電子レンジで約1分、じゃがいもも同様にして500Wの電子レンジで約2分加熱します。
2. 鍋でお湯を沸かし、ウインナーを入れ、弱火に落として3分茹でたら、斜め半分に切ります。
3. ゴルゴンゾーラチーズを細かくちぎり、片栗粉をまぶしておきます。
4. 鍋に白ワインを入れ中火にかけ、沸騰させてアルコールを飛ばします。
5. 生クリームとすりおろしニンニクを入れ弱火にし、フツフツとしてきたら3を少しずつ入れ、混ぜ溶かします。
6. 塩こしょうで味を調え、火を止めます。
7. 器に盛り付け、1、2、フランスパンを並べて完成です。
.
【コツ・ポイント】
手順3で、ゴルゴンゾーラチーズに片栗粉をまぶしておくと、全体が混ざりやすくなります。
手順5で、生クリームが分離する恐れがあるので、チーズを入れる前にグツグツ沸かさないようにしてください。
白ワインは、苦手な方やお子様の場合は、牛乳で代用出来ます。
付ける食材はお好みの物をご用意ください。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #チーズフォンデュ #ゴルゴンゾーラ",2017-12-03 21:10:23 +0900,88108,4041
https://www.instagram.com/p/BcO_tVBATEB,"『鮭のタンドリー風』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人分
鮭（200g） 　2切れ
①無糖ヨーグルト 　大さじ2
①ケチャップ 　大さじ2
①ウスターソース 　大さじ1
①カレー粉 　大さじ1
①オリーブオイル 　小さじ1
①すりおろしニンニク 　小さじ1/2
サラダ油 　小さじ2
ベビーリーフ 　10g
.
【手順】
1. チャック付き袋に①の材料と鮭を入れて揉み込み、10分ほど漬け込みます。
2. フライパンにサラダ油を入れて中火で熱し、1を入れます。
3. 焼き色がついたら、裏返して火が通るまで焼きます。
4. お皿にベビーリーフをのせ、3を盛りつけたら完成です。
.
【コツ・ポイント】
鮭は鶏肉でも代用いただけます。
調味料の加減は、お好みで調整してください。
ソースが焦げる恐れがあるので、火加減に注意してください。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #鮭 #タンドリー風 #おかず",2017-12-03 18:01:35 +0900,68376,4024
https://www.instagram.com/p/BcOrD4Fge1L,"『簡単 エビと大葉が入ったコロコロがんもどき』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
木綿豆腐 　400g
----- 具材 -----
エビ 　50g
大葉 　4枚
玉ねぎ 　1/4個
しいたけ 　3個
①溶き卵 　1/2個分
①片栗粉 　大さじ3
①酒 　大さじ1
①しょうゆ 　大さじ1
①塩 　小さじ1
揚げ油 　適量
----- しょうが醤油 -----
しょうゆ 　大さじ2
すりおろし生姜 　小さじ1
.
【手順】
木綿豆腐はキッチンペーパーでくるみ、しっかりと水気を切っておきます。エビは殻を剥き背ワタを取っておきます。
1. 大葉、しいたけは軸を取ります。具材を全て粗みじん切りにします。
2. ボウルに木綿豆腐を入れ、スプーンなどでよくすり潰したら1、①を加えて混ぜ合わせたら丸く成型します。
3. フライパンの底から3cmほどの高さまで揚げ油を注ぎます。190℃に熱したら2を入れます。
4. 全体がこんがりときつね色になったら取り出し、油を切ります。
5. お皿に盛り付け、しょうが醤油を添えたら完成です。
.
【コツ・ポイント】
塩加減は、お好みで調整してください。
玉ねぎは長ねぎでも代用いただけます。木綿豆腐はしっかりと水気を切らないと揚げているときに水分が出てきれいに揚がらないので気を付けてくださいね。絹ごし豆腐では緩くなりすぎるので木綿豆腐がおすすめです。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #エビ #大葉 #がんもどき #コロコロ",2017-12-03 15:01:13 +0900,141091,6180
https://www.instagram.com/p/BcOWnnCA_Aw,"『濃厚 大学芋風さつまいもプリン』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 4個分(直径7.5cm×高さ6cmのコップ)
さつまいも 　250g
水（さつまいも用） 　適量
牛乳 　400ml
砂糖 　50g
ゼラチン（粉） 　10g
水 　30ml
----- 大学芋のタレ -----
はちみつ 　大さじ3
しょうゆ 　大さじ1
黒いりごま 　小さじ1
.
【手順】
1. 水にゼラチンを振り入れ、よく混ぜ10分ふやかします。
2. さつまいもの皮を剥き、一口大に切ります。水に10分さらし、水を切ります。
3. 2を耐熱ボウルに入れ、ラップをして500Wのレンジで4分やわらかくなるまで加熱します。レンジから取り出して粗熱を取ります。
4. 3、牛乳の300ml分をミキサー入れ、滑らかになるまで撹拌します。
5. 残りの牛乳100mlを鍋に入れて中火にかけます。沸騰する直前で火からおろし、1を加えて溶けるまでよく混ぜます。
6. 5に4を加えて混ぜ合わせ、粗熱が取れたらカップに注ぎ、冷蔵庫で2時間以上冷やし固めます。
7. 鍋に大学芋のタレの材料を入れて弱火にかけます。とろりと滑らかな状態になったら火からおろして冷まします。
8. 6のカップに7を注ぎいれたら出来上がりです。
.
【コツ・ポイント】
・ゼラチンに使用するお湯の温度はご使用のメーカーによって異なりますのでご確認いただき、使用方法に従ってください。ゼラチンは沸騰させてしまうと凝固率が下がり固まりにくくなってしまいますので、沸騰させない様注意してください。また、たんぱく質分解酵素を含む生のパイナップル、キウイ、パパイヤ等のフルーツを入れると固まらない事がありますので、ご注意ください。
・こちらのレシピは、はちみつを使用しております。1歳未満（乳幼児）のお子様はお召し上がりにならないようご注意ください。はちみつは、砂糖でも代用いただけますが、はちみつの種類によって甘さが異なりますのでお好みで調整してくださいね。
・大学芋タレをかけるので、プリン自体は甘さ控えめにしています。砂糖の量はお好みで調節してくださいね。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #プリン #さつまいも #大学芋風 #デザート",2017-12-03 12:02:36 +0900,165356,7742
https://www.instagram.com/p/BcM2VjgA6xB,"『ピリ辛 ニラのおひたし』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
ニラ 　50g
お湯 　適量
冷水 　適量
①しょうゆ 　大さじ1
①豆板醤 　小さじ1
①砂糖 　小さじ1/2
白いりごま 　適量
.
【手順】
1. ニラは根元を切り落とし、3cmの長さに切ります。
2. 鍋に湯を沸かし、1をさっと茹でて冷水に取り、水気を切ります。
3. ボウルに①を混ぜ合わせ、2を加えて和えます。
4. 器に盛り付け、白いりごまをちらして完成です。
.
【コツ・ポイント】
辛めの味付けです。豆板醤の量はお好みで調整してください。
ニラを茹でる際には、茹ですぎると水っぽい仕上がりになってしまうので注意してください。さっとお湯にくぐらせる程度で十分です。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #ニラ #おひたし #ピリ辛 #おつまみ",2017-12-02 22:01:14 +0900,92622,4805
https://www.instagram.com/p/BcMwUp-AERd,"『がんもどきでたこ焼き風おつまみ』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
がんもどき 　200g
----- ソース -----
中濃ソース 　大さじ2
めんつゆ（2倍濃縮） 　大さじ1
----- トッピング -----
マヨネーズ 　大さじ1
かつお節 　2g
青さのり 　小さじ1
.
【手順】
1. がんもどきはトースターで、こんがりと焼き色がつくまで5分ほど焼きます。
2. ボウルにソースの材料を入れ、混ぜ合わせます。
3. 1を皿に盛り付け、2をまんべんなくかけます。
4. 3にトッピングをかけたら完成です。
.
【コツ・ポイント】
お使いのトースター機種によって焼き加減が異なりますので、様子を見ながらご調整ください。今回は1000W180℃で焼いています。 .
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #がんもどき #たこ焼き風 #おつまみ #夜食",2017-12-02 21:08:39 +0900,111816,4468
https://www.instagram.com/p/BcMbEffAmKW,"『熱々とろーり プルコギ風チーズドリア』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
牛こま切れ肉 　300g
ニラ 　50g
玉ねぎ 　1/2個
にんじん 　1/3本
焼肉のタレ 　100ml
----- ガーリックライス -----
ごはん 　300g
ごま油 　大さじ1
すりおろしニンニク 　小さじ1
塩こしょう 　少々
ごま油 　大さじ1
ピザ用チーズ 　100g
.
【手順】
にんじんはヘタを切り落とし、皮をむいておきます。
1. にんじんと玉ねぎは5mm幅の細切りに、ニラは3cm幅に切ります。
2. ボウルに牛こま切れ肉と焼肉のタレ、1を加え、混ぜ合わせます。ラップをかけ冷蔵庫で15分冷やします。
3. 別の耐熱ボウルにガーリックライスの材料を入れ、混ぜ合わせたら、ラップをかけ、600Wのレンジで3分加熱します。
4. 中火で熱したフライパンにごま油を入れ、2を火が通るまで炒め、火からおろします。
5. 耐熱皿に3と4を入れたら、ピザ用チーズを乗せ、トースターでこんがりと焼き色がつくまで、10分焼いたら完成です。
.
【コツ・ポイント】
牛肉はお好みの部位でお作りいただけます。
お使いのトースター機種によって焼き加減が異なりますので、様子を見ながらご調整ください。今回は1000W200℃で焼いています。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #プルコギ風  #ドリア #チーズドリア",2017-12-02 18:04:42 +0900,116840,6421
https://www.instagram.com/p/BcMG0SmAR0_,"『シンプルなのにトロ旨 チーズトースト』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
食パン（6枚切） 　2枚
マヨネーズ 　大さじ1
ピザ用チーズ 　50g
塩 　ふたつまみ
黒こしょう 　小さじ1/4
.
【手順】
1. 食パンにマヨネーズを塗ります。
2. 1にピザ用チーズをまんべんなく載せ、塩をひとつまみずつ振りかけます。
3. トースターで約5分、チーズに少し焦げ目ができるまで焼きます。
4. 3を皿にのせ、黒こしょうをふって完成です。
.
【コツ・ポイント】
塩加減は、お好みで調整してください。
お使いのトースター機種によって焼き加減が異なりますので、様子を見ながらご調整ください。今回は1000W170℃で焼いています。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #チーズ #トースト #おやつ #軽食",2017-12-02 15:05:57 +0900,220228,7414
https://www.instagram.com/p/BcLxtBwgbry,"『具がたっぷり あさりのクラムチャウダー』
.
————————————————————
iPhone/Androidアプリ『クラシル』で検索(^^)/
作ってみたい料理の保存もでき、レシピも豊富です！
————————————————————
.
【材料】 2人前
あさりの水煮（正味量50g） 　100g
じゃがいも 　50g
玉ねぎ 　1/4個
にんじん（30g） 　1/4本
薄力粉 　大さじ1
水 　200ml
牛乳 　200ml
粉チーズ 　大さじ1
コンソメ顆粒 　小さじ2
有塩バター 　大さじ1
黒こしょう 　少々
パセリ 　少々
.
【手順】
あさりの水煮は、身と煮汁を分けておきます。
1. 玉ねぎは1cm角に切ります。にんじんは皮を剥き、1cm角に切ります。じゃがいもは皮をむき、芽を取り除いて1cm角に切ります。
2. 鍋でバターを溶かします。1を入れて中火にかけます。
3. 野菜がしんなりしてきたら、薄力粉を入れて炒め、全体が馴染んだら水、あさりの水煮の煮汁50mlを加えて中火で煮ます。煮汁が50mlに満たない場合は水を足します。
4. じゃがいもに火が通ったら、あさりの水煮の身、牛乳、粉チーズ、コンソメ顆粒を加えて弱火で煮ます。沸騰直前で火から下ろします。
5. 器に盛り付け、黒こしょう、パセリを散らしたら完成です。
.
【コツ・ポイント】
あさりは正味量（身）50g煮汁50gの缶詰を使用しました。
塩加減は、お好みで調整してください。
鍋底に焦げができやすいので、こまめにかき混ぜてください。
野菜の大きさを均一にすると、ムラなく火が通ります。
.
————————————————————
このレシピを作った方は「#クラシル」をタグ付けして写真を投稿してくださいね♩
レシピに関する質問はクラシルアプリのレシピページでコメントお願いします^^
————————————————————
.
#クラシル #kurashiru #クラシルレシピ #クラシル男子 #クラシル女子 #instafood #foodie #recipe #レシピ #料理 #foodpic # #homemade #レシピ動画 #料理動画 #簡単レシピ #クラムチャウダー #あさり #スープ",2017-12-02 12:09:42 +0900,108580,6587
